,Country,Popularity,Title,Artist,Album/Single,Artist_followers,Explicit,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,Genre_new
46875,Global,76141.89999999997,without me,Halsey,single,12622150.0,True,Without Me,2018-10-04,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.5329999999999999,136.041,201661.0,pop
41875,Global,75069.0,lucid dreams,Juice WRLD,album,13266070.0,True,Goodbye & Good Riddance,2018-12-10,0.511,0.5660000000000001,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.90299999999998,239836.0,rap
53513,Global,75034.65000000008,memories,Maroon 5,single,27713137.0,False,Memories,2019-09-20,0.764,0.32,11.0,-7.209,1.0,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.019,189486.0,pop
4090,Global,75015.80000000003,i like it,Cardi B - Bad Bunny - J Balvin,album,13132135.0,True,Invasion of Privacy,2018-04-06,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.3720000000000001,0.65,136.048,253390.0,pop
42345,Global,74669.2,moonlight,XXXTENTACION,album,22910410.0,True,?,2018-03-16,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090.0,rap
8181,Global,74549.4000000001,taki taki,DJ Snake - Selena Gomez - Ozuna - Cardi B,single,7101818.0,True,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,0.8420000000000001,0.8009999999999999,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,pop
68953,Global,74373.60000000003,sweet but psycho,Ava Max,single,2457248,False,Sweet but Psycho,2018-08-17,0.7190000000000001,0.7040000000000001,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,187436.0,pop
28056,Global,72731.09999999999,rockstar,DaBaby - Roddy Ricch,album,4807934.0,True,BLAME IT ON BABY,2020-04-17,0.746,0.69,11.0,-7.956,1.0,0.16399999999999998,0.247,0.0,0.101,0.4970000000000001,89.977,181733.0,hip hop
74311,Global,71602.50000000001,believer,Imagine Dragons,album,30723081,False,Evolve,2017-06-23,0.7759999999999999,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,204347.0,rock
68751,Global,70440.85,closer,The Chainsmokers - Halsey,single,16931568,False,Closer,2016-07-29,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,244960.0,pop
8769,Global,68233.35000000005,high hopes,Panic! At The Disco,album,10097733.0,False,Pray for the Wicked,2018-06-22,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.6809999999999999,82.014,190947.0,pop
32941,Global,68024.70000000004,i dont care,Ed Sheeran - Justin Bieber,album,71783101.0,False,No.6 Collaborations Project,2019-07-12,0.7979999999999999,0.6759999999999999,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947.0,pop
71085,Global,67601.70000000004,mi gente,J Balvin - Willy William,single,23718139,False,Mi Gente,2017-06-30,0.5429999999999999,0.677,11.0,-4.915,0.0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440.0,latin
47692,Global,66502.05000000003,one kiss,Calvin Harris - Dua Lipa,single,20814678.0,False,One Kiss (with Dua Lipa),2018-04-06,0.7909999999999999,0.862,9.0,-3.24,0.0,0.11,0.037000000000000005,2.19e-05,0.0814,0.5920000000000001,123.994,214847.0,pop
3906,Global,66145.75000000009,roxanne,Arizona Zervas,single,522489.0,True,ROXANNE,2019-10-10,0.621,0.601,6.0,-5.6160000000000005,0.0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,163636.0,pop
67963,Global,65842.95000000004,youngblood,5 Seconds of Summer,album,6734577,False,Youngblood (Deluxe),2018-06-15,0.596,0.8540000000000001,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,203418.0,boy band
14305,Global,65631.60000000005,havana,Camila Cabello - Young Thug,album,18673543.0,False,Camila,2018-01-12,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.5600000000000005e-05,0.132,0.394,104.988,217307.0,pop
15532,Global,65215.0,gods plan,Drake,single,50593376.0,True,Scary Hours,2018-01-20,0.758,0.448,7.0,-9.441,1.0,0.103,0.0309,8.669999999999999e-05,0.5579999999999999,0.373,77.176,198960.0,hip hop
18846,Global,64659.70000000001,sunflower - spider-man: into the spider-verse,Post Malone - Swae Lee,album,29173640.0,False,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0,rap
74639,Global,64563.7,rockstar,Post Malone - 21 Savage,single,29173640,True,rockstar,2017-09-15,0.5770000000000001,0.522,5.0,-6.5939999999999985,0.0,0.0984,0.13,9.03e-05,0.142,0.119,159.77200000000005,218320.0,rap
35963,Global,64239.90000000001,despacito,Luis Fonsi - Daddy Yankee,single,8932627.0,False,Despacito (Featuring Daddy Yankee),2017-01-13,0.66,0.7859999999999999,2.0,-4.757,1.0,0.17,0.209,0.0,0.112,0.846,177.833,228200.0,latin
46825,Global,64176.60000000005,idgaf,Dua Lipa,album,20575026.0,True,Dua Lipa (Deluxe),2017-06-02,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947.0,pop
30486,Global,64065.40000000004,i fall apart,Post Malone,album,29173640.0,True,Stoney (Deluxe),2016-12-09,0.556,0.5379999999999999,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.29100000000000004,143.95,223347.0,rap
19736,Global,63930.29999999997,tusa,KAROL G - Nicki Minaj,single,12839172.0,False,Tusa,2019-11-07,0.8029999999999999,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,latin
18770,Global,63703.49999999997,beautiful people,Ed Sheeran - Khalid,album,71783101.0,False,No.6 Collaborations Project,2019-07-12,0.64,0.647,5.0,-8.113999999999999,0.0,0.18600000000000005,0.124,0.0,0.0801,0.546,92.979,197867.0,pop
65027,Global,63565.10000000006,highest in the room,Travis Scott,single,13434540,True,HIGHEST IN THE ROOM,2019-10-04,0.598,0.4270000000000001,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,rap
21188,Global,61864.650000000016,con calma,Daddy Yankee - Snow,single,20661027.0,False,Con Calma,2019-01-24,0.737,0.86,8.0,-2.652,0.0,0.0593,0.11,1.94e-06,0.0574,0.6559999999999999,93.989,193227.0,latin
34726,Global,60668.09999999992,unforgettable,French Montana - Swae Lee,album,3691323.0,True,Jungle Rules,2017-07-14,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0,hip hop
83297,Global,60420.3,when the partys over,Billie Eilish,album,34697267,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.3670000000000001,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.64200000000002,196077.0,pop
77574,Global,60081.64999999997,attention,Charlie Puth,single,11708460,False,Attention,2017-04-20,0.774,0.626,3.0,-4.432,0.0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475.0,pop
72426,Global,59710.099999999984,in my feelings,Drake,album,50593376,True,Scorpion,2018-06-29,0.835,0.626,1.0,-5.832999999999998,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,217925.0,hip hop
49698,Global,59194.10000000001,xo tour llif3,Lil Uzi Vert,album,10065137.0,True,Luv Is Rage 2,2017-08-25,0.732,0.75,11.0,-6.3660000000000005,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,182707.0,rap
6203,Global,58972.05000000005,mia,Bad Bunny - Drake,single,26265604.0,False,MIA (feat. Drake),2018-10-11,0.8170000000000001,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,latin
30029,Global,58687.69999999997,too good at goodbyes,Sam Smith,album,14303985.0,False,The Thrill Of It All (Special Edition),2017-11-03,0.6809999999999999,0.3720000000000001,5.0,-8.237,1.0,0.0432,0.64,0.0,0.16899999999999998,0.476,91.873,201000.0,pop
53210,Global,58570.74999999994,watermelon sugar,Harry Styles,album,10361677.0,False,Fine Line,2019-12-13,0.5479999999999999,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,pop
8843,Global,57506.85000000001,before you go,Lewis Capaldi,album,5649718.0,False,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,0.459,0.575,3.0,-4.8580000000000005,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,pop
80654,Global,57460.25000000003,calma - remix,Pedro Capó - Farruko,single,1263646,False,Calma (Remix),2018-10-05,0.826,0.773,11.0,-4.218,0.0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899,238200.0,latin
82251,Global,57380.14999999999,thats what i like,Bruno Mars,album,27355260,False,24K Magic,2016-11-17,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,pop
66834,Global,57289.05000000008,china,Anuel AA - Daddy Yankee - KAROL G - J Balvin - Ozuna,single,14877871,False,China,2019-07-19,0.7859999999999999,0.8079999999999999,7.0,-3.702,1.0,0.0882,0.0846,0.00028900000000000003,0.0822,0.609,105.027,301714.0,latin
73977,Global,57187.39999999999,in my mind,Dynoro - Gigi D'Agostino,single,208733,False,In My Mind,2018-06-08,0.6940000000000001,0.77,6.0,-5.335,1.0,0.149,0.17600000000000002,1.1e-05,0.118,0.163,125.905,184560.0,dance/electronic
3541,Global,56071.25,me rehúso,Danny Ocean,single,2521509.0,False,Me Rehúso,2017-06-16,0.7440000000000001,0.804,1.0,-6.327000000000001,1.0,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715.0,latin
77330,Global,55805.45000000005,dancing with a stranger,Sam Smith - Normani,single,14303985,False,Dancing With A Stranger (with Normani),2019-01-11,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.998,171030.0,pop
52465,Global,55788.2,ride it,Regard,single,105987.0,False,Ride It,2019-07-26,0.88,0.7509999999999999,7.0,-4.258,0.0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606.0,dance/electronic
28934,Global,55747.44999999998,friends,Marshmello - Anne-Marie,single,27670203.0,True,FRIENDS,2018-02-09,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,dance/electronic
68920,Global,55665.4,wow.,Post Malone,single,29173640,True,Wow.,2018-12-24,0.833,0.539,11.0,-7.399,0.0,0.17800000000000002,0.163,2.1e-06,0.101,0.385,99.947,149520.0,rap
67761,Global,55415.85,i don’t wanna live forever  - from fifty shades darker,ZAYN - Taylor Swift,single,13407533,False,I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,0.735,0.451,0.0,-8.374,1.0,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,245200.0,pop
57222,Global,55339.69999999997,it aint me,Kygo - Selena Gomez,single,6858400.0,False,It Ain't Me (with Selena Gomez),2017-02-16,0.64,0.5329999999999999,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0,dance/electronic
78235,Global,55277.15000000005,1-800-273-8255,Logic - Alessia Cara - Khalid,album,5004777,True,Everybody,2017-05-05,0.62,0.574,5.0,-7.7879999999999985,0.0,0.0479,0.569,0.0,0.19,0.35700000000000004,100.023,250173.0,hip hop
7183,Global,55059.00000000001,silence,Marshmello - Khalid,single,27670203.0,False,Silence,2017-08-11,0.52,0.7609999999999999,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971,180823.0,dance/electronic
15578,Global,54217.60000000007,death bed,Powfu - beabadoobee,single,644896.0,False,death bed (coffee for your head),2020-02-08,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0,rap
34029,Global,53351.24999999999,taste,Tyga - Offset,single,5980363.0,True,Taste (feat. Offset),2018-05-16,0.884,0.5589999999999999,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,232959.0,pop
24054,Global,53166.74999999994,roses - imanbek remix,SAINt JHN - Imanbek,single,546592.0,True,Roses (Imanbek Remix),2019-10-09,0.77,0.7240000000000001,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,rap
73704,Global,53100.50000000003,everything i wanted,Billie Eilish,single,34697267,False,everything i wanted,2019-11-13,0.7040000000000001,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,245426.0,pop
38802,Global,52391.89999999997,havana,Camila Cabello - Young Thug,single,18673543.0,False,Havana,2017-08-03,0.768,0.517,7.0,-4.323,0.0,0.0312,0.18600000000000005,3.8e-05,0.104,0.418,104.992,216897.0,pop
41934,Global,52205.099999999984,callaita,Bad Bunny - Tainy,single,26265604.0,True,Callaita,2019-05-31,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,latin
1720,Global,50735.24999999999,psycho,Post Malone - Ty Dolla $ign,album,29173640.0,True,beerbongs & bentleys,2018-04-27,0.75,0.56,8.0,-8.094,1.0,0.105,0.546,0.0,0.111,0.459,140.06,221440.0,rap
19575,Global,50643.85000000001,young dumb & broke,Khalid,album,12829933.0,False,American Teen,2017-04-27,0.7979999999999999,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.94899999999998,202547.0,r&b/soul
40781,Global,50598.3,adore you,Harry Styles,album,10361677.0,False,Fine Line,2019-12-13,0.6759999999999999,0.7709999999999999,8.0,-3.675,1.0,0.0483,0.0237,7.000000000000002e-06,0.102,0.569,99.048,207133.0,pop
44069,Global,50561.20000000002,location,Khalid,album,12829933.0,False,American Teen,2017-04-27,0.736,0.449,1.0,-11.462,0.0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080.0,r&b/soul
19348,Global,50395.70000000001,goodbyes,Post Malone - Young Thug,single,29173640.0,True,Goodbyes (Feat. Young Thug),2019-07-05,0.58,0.653,5.0,-3.818,1.0,0.0745,0.447,0.0,0.111,0.175,150.231,174960.0,rap
74337,Global,49981.1,thunder,Imagine Dragons,album,30723081,False,Evolve,2017-06-23,0.6,0.81,0.0,-4.749,1.0,0.0479,0.00683,0.21,0.155,0.298,167.88,187147.0,rock
63295,Global,49838.90000000005,theres nothing holdin me back,Shawn Mendes,album,29743681,False,Illuminate (Deluxe),2017-04-20,0.857,0.8,2.0,-4.035,1.0,0.0583,0.381,0.0,0.0913,0.966,121.996,199440.0,pop
18805,Global,49361.70000000002,hot girl bummer,blackbear,single,3657373.0,True,hot girl bummer,2019-08-23,0.778,0.5589999999999999,6.0,-7.109,0.0,0.0776,0.128,0.0,0.399,0.6779999999999999,129.989,185093.0,pop
23199,Global,49244.75000000001,eastside,benny blanco - Halsey - Khalid,album,653196.0,False,FRIENDS KEEP SECRETS,2018-12-07,0.632,0.6859999999999999,6.0,-7.665,0.0,0.243,0.5489999999999999,0.0,0.2,0.329,89.949,170770.0,pop
19812,Global,49207.95,feel it still,Portugal. The Man,album,1152895.0,False,Woodstock,2017-06-16,0.8009999999999999,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0,rock
53378,Global,49040.65,lalala,Y2K - bbno$,single,248914.0,True,Lalala,2019-06-28,0.843,0.391,2.0,-7.899,1.0,0.0845,0.181,0.0,0.13699999999999998,0.496,129.972,160627.0,pop
42267,Global,47853.50000000003,bohemian rhapsody - remastered 2011,Queen,album,29836055.0,False,A Night At The Opera (2011 Remaster),1975-11-21,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,354320.0,rock
38722,Global,47829.14999999998,say so,Doja Cat,album,4098337.0,True,Hot Pink,2019-11-07,0.787,0.6729999999999999,11.0,-4.577,0.0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,237893.0,indie
10231,Global,47707.79999999997,no me conoce - remix,Jhay Cortez - J Balvin - Bad Bunny,album,1371556.0,False,Famouz,2019-05-24,0.8059999999999999,0.7859999999999999,10.0,-3.831,0.0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120.0,latin
23164,Global,47621.24999999996,starboy,The Weeknd - Daft Punk,album,25562055.0,True,Starboy,2016-11-25,0.6809999999999999,0.594,7.0,-7.028,1.0,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453.0,r&b/soul
21289,Global,47431.00000000002,galway girl,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.624,0.8759999999999999,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.7809999999999999,99.943,170827.0,pop
67451,Global,47388.60000000001,swalla,Jason Derulo - Nicki Minaj - Ty Dolla $ign,single,8406712,True,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017-02-23,0.696,0.8170000000000001,1.0,-3.862,1.0,0.109,0.075,0.0,0.187,0.782,98.064,216409.0,pop
7517,Global,47347.00000000002,symphony,Clean Bandit - Zara Larsson,single,4046263.0,False,Symphony (feat. Zara Larsson),2017-03-16,0.7070000000000001,0.629,0.0,-4.581,0.0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,212459.0,pop
76157,Global,47153.900000000016,te boté - remix,Nio Garcia - Casper Magico - Bad Bunny - Darell - Ozuna - Nicky Jam,single,1400444,True,Te Boté (Remix),2018-04-13,0.903,0.675,11.0,-3.445,0.0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920.0,latin
9677,Global,47076.25000000004,blueberry faygo,Lil Mosey,album,2945049.0,True,Certified Hitmaker,2020-02-06,0.774,0.5539999999999999,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,rap
56581,Global,45760.75000000001,dont start now,Dua Lipa,album,20575026.0,False,Future Nostalgia,2020-03-27,0.7929999999999999,0.7929999999999999,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290.0,pop
41795,Global,45560.2,la canción,J Balvin - Bad Bunny,album,23718139.0,False,OASIS,2019-06-28,0.754,0.6459999999999999,7.0,-5.795,1.0,0.317,0.152,1.85e-05,0.108,0.429,176.08900000000003,242573.0,latin
29658,Global,45423.35000000001,rockabye,Clean Bandit - Sean Paul - Anne-Marie,single,4046263.0,False,Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,251088.0,pop
3665,Global,45376.65000000005,paris,The Chainsmokers,album,16931568.0,False,Memories...Do Not Open,2017-04-07,0.653,0.6579999999999999,2.0,-6.428,1.0,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507.0,pop
30677,Global,45306.80000000002,wild thoughts,DJ Khaled - Rihanna - Bryson Tiller,album,5270929.0,True,Grateful,2017-06-22,0.6709999999999999,0.672,0.0,-3.094,0.0,0.0688,0.0329,0.0,0.118,0.632,97.979,204173.0,pop
42957,Global,45233.95000000002,im the one,DJ Khaled - Justin Bieber - Quavo - Chance the Rapper - Lil Wayne,album,5270929.0,True,Grateful,2017-06-22,0.609,0.6679999999999999,7.0,-4.284,1.0,0.0367,0.0552,0.0,0.16699999999999998,0.8109999999999999,80.92399999999998,288600.0,pop
31215,Global,45227.10000000004,stay,Zedd - Alessia Cara,single,5236599.0,False,Stay,2017-02-23,0.679,0.634,5.0,-5.024,0.0,0.0654,0.232,0.0,0.115,0.498,102.013,210091.0,dance/electronic
28121,Global,45156.150000000016,castle on the hill,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.461,0.8340000000000001,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154.0,pop
21010,Global,45009.60000000002,intentions,Justin Bieber - Quavo,album,39214943.0,False,Changes,2020-02-14,0.8059999999999999,0.546,9.0,-6.6370000000000005,1.0,0.0575,0.3,0.0,0.102,0.8740000000000001,147.986,212867.0,pop
19606,Global,44965.60000000001,"thank u, next",Ariana Grande,single,52571724.0,True,"thank u, next",2018-11-03,0.7240000000000001,0.647,1.0,-5.642,1.0,0.0658,0.28,0.0,0.102,0.435,106.96,207333.0,pop
77979,Global,44897.4,one dance,Drake - WizKid - Kyla,album,50593376,False,Views,2016-05-06,0.7909999999999999,0.619,1.0,-5.886,1.0,0.0532,0.00784,0.004229999999999999,0.35100000000000003,0.371,103.989,173987.0,hip hop
49254,Global,44790.74999999999,wolves,Selena Gomez - Marshmello,single,23289724.0,False,Wolves,2017-10-25,0.715,0.802,11.0,-4.647,0.0,0.0394,0.139,0.0,0.177,0.327,124.989,197993.0,pop
65579,Global,44732.0,"thank u, next",Ariana Grande,album,52571724,True,"thank u, next",2019-02-08,0.7170000000000001,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,pop
31184,Global,44665.54999999998,look alive,BlocBoy JB - Drake,single,1185031.0,True,Look Alive (feat. Drake),2018-02-09,0.922,0.581,10.0,-7.495,1.0,0.27,0.00104,5.86e-05,0.105,0.595,140.02200000000002,181263.0,pop
